No,Date,Time,ColdJunc0,TEMP,Humidity,Rainfall,Bar_press.
92793,01/10/2021,00:00:00,22,82,39,0,1000
92794,01/10/2021,00:10:00,22,84,9,0,1000
92795,01/10/2021,00:20:00,22,81,99,0,1000
92796,01/10/2021,00:30:00,22,84,29,0,1000
92797,01/10/2021,00:40:00,22,87,9,0,999
92798,01/10/2021,00:50:00,22,89,4,0,999
92799,01/10/2021,01:00:00,22,90,2,0,999
92800,01/10/2021,01:10:00,22,91,1,0,999
92801,01/10/2021,01:20:00,22,92,6,0,999
92802,01/10/2021,01:30:00,21,93,6,0,999
92803,01/10/2021,01:40:00,21,93,5,0,998
92804,01/10/2021,01:50:00,21,94,21,0,999
92805,01/10/2021,02:00:00,21,94,5,0,998
92806,01/10/2021,02:10:00,21,94,9,0,998
92807,01/10/2021,02:20:00,21,95,21,0,999
92808,01/10/2021,02:30:00,21,95,6,0,998
92809,01/10/2021,02:40:00,21,95,6,0,998
92810,01/10/2021,02:50:00,21,95,1,0,998
92811,01/10/2021,03:00:00,20,95,4,0,998
92812,01/10/2021,03:10:00,20,95,6,0,998
92813,01/10/2021,03:20:00,20,96,0,0,998
92814,01/10/2021,03:30:00,20,95,7,0,998
92815,01/10/2021,03:40:00,20,95,6,0,998
92816,01/10/2021,03:50:00,20,95,8,0,998
92817,01/10/2021,04:00:00,20,96,1,0,998
92818,01/10/2021,04:10:00,20,96,1,0,998
92819,01/10/2021,04:20:00,20,96,0,0,998
92820,01/10/2021,04:30:00,20,96,1,0,999
92821,01/10/2021,04:40:00,20,96,1,0,999
92822,01/10/2021,04:50:00,20,96,2,0,999
92823,01/10/2021,05:00:00,20,96,1,0,999
92824,01/10/2021,05:10:00,20,96,0,0,999
92825,01/10/2021,05:20:00,20,95,9,0,999
92826,01/10/2021,05:30:00,20,95,7,0,1000
92827,01/10/2021,05:40:00,20,95,7,0,1000
92828,01/10/2021,05:50:00,20,95,6,0,1000
92829,01/10/2021,06:00:00,20,95,5,0,1000
92830,01/10/2021,06:10:00,20,95,6,0,1000
92831,01/10/2021,06:20:00,20,95,5,0,1000
92832,01/10/2021,06:30:00,20,95,2,0,1000
92833,01/10/2021,06:40:00,20,94,5,0,1000
92834,01/10/2021,06:50:00,20,93,0,0,1001
